ID,"Are you an UG, PGT, PGR or Academic Staff?","Have you heard of the term ""Smart Building""?",Did you know before this form that the USB is a Smart Building?,How many days a week do you spend any time in the USB?,"When you're in the USB, where do you work?","If you don't spend time at the USB, where do you work on campus?",Is there any reason you don't choose to spend time in the USB?,Have you heard of the Urban Observatory?,"Do you believe Smart Building technology has a strong impact on Climate Change? 1 suggests it has no impact, whilst 5 suggests it has a strong impact.",Please give a reason for your rating.,"Do you have any concerns about your data being tracked through the use of Smart Building technology (e.g. rooms sensing for occupancy)? 1 for no concerns around data tracking, 5 for very concerned...","Do you think knowing statistics about a room, such as its temperature, or CO2 level is beneficial to you when choosing a space to work in? 1 for not beneficial, 5 for very beneficial.","Is Smart Building technology, that is being used to help increase energy efficiency, something you think is important? 1 for not important, 5 for very important.","There are developments in the research area that could result, in addition to using sensors around a building, using other personal technology to connect with a Smart Building network. Does the in…","If all data remained private but it made a positive impact on your household bills, by showing you, for example where rooms were too warm or too cold, would you implement Smart Building technology...","If relevant data was disclosed to energy companies but it made a positive impact on your household bills, by proving your home was energy efficient, would you implement Smart Building technology i...","How do you feel about occupancy sensors for rooms/areas used by one, or very few individuals?","How do you feel about occupancy sensors for rooms/areas used by large groups, such as the Flat Floor Teaching Space?",How do you feel about CO2 sensors for rooms/areas to detect the level of CO2 in a room?,"How do you feel about temperature sensors for rooms/areas to detect the temperature, and control the heating, of a room?",How do you feel about light sensors for rooms/areas to measure the brightness of a room?,How do you feel about humidity sensors for rooms/areas to measure water vapour levels in a room?,"If you were constructing a new building, would you consider implementing Smart Building technology?",Please explain your choice.,"If you were thinking about implementing Smart Building technology, into either a new building, or renovating an existing structure, would a program to give suggestions on what to include, based on...",Please explain your choice.2,"If an incident involving a Smart Building, such as a water leak that damaged infrastructure, what would you want/expect the building to do in this scenario to maintain security and safety within t...","Is there anything you think could be improved within Smart Building Technology? This could be new metrics to measure, or to help improve efficiency etc."
19,UG,Yes,Yes,5 days,"Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);",Philip Robinson Library;,,Yes,5.00,"Using IoT technology, we can monitor and regulate the environmental impact that buildings have.",3.00,3.00,5.00,5.00,4.00,2.00,3.00,1.00,5.00,5.00,5.00,5.00,Yes,yes,Yes,It would be helpful ,I dont know,I dont know
20,UG,Yes,Yes,5 days,Games lab (4.015);,,2 hour commute from Durham,Yes,5.00,"Understanding is always the first step to solving a problem. Having experience working with the Urbain Observatory API I know that a lot of very relevant data is being recorded, and can be used to influence decisions in making improvements.",2.00,3.00,5.00,2.00,4.00,3.00,5.00,5.00,5.00,5.00,5.00,5.00,Yes,I like to do what I can to avert climate change. This seems like it would help.,Yes,"I am not an expert on smart technology, so it would be nice to hear expert opinions on the matter so I can make informed decisions.","Following fire safety rules, there should always be an accessible path to exit a building. A smart building should be able to unlock doors as necessary to ensure there is always an exit route available to occupants, in the event of an emergency.","Something along the lines of a user friendly terminal for people to see statistics related to a given room/cluster, i.e. which rooms are full/available, what the temperature/humidity currently is, etc..
This could also involve some form of informative dialog to teach people more about smart buildings and why they should be interested in them."
21,UG,Yes,Yes,4 days,"Group Study Spaces (Large tables with 8-10 chairs);Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);",Marjorie Robinson Library;I don't work on campus;,It’s not near the Green metro line so it’s a little further to walk,Yes,2.00,There hasn’t been a change in behaviour after collecting data,5.00,5.00,5.00,4.00,5.00,2.00,1.00,4.00,5.00,5.00,5.00,5.00,Yes,It seems like it has the potential to make beneficial impacts on the environment and utilitiss,Yes,Yes,"Sounds familiar…I wouldn’t expect it to lock everyone out, but fire doors closing etc would be anticipated. Maybe it could notify key holders or shut off the water supply to that area. ",privacy is a big concern and I believe needs to be improved. 
22,Academic Staff,Yes,Yes,3 days,Offices (e.g. EPiC space 2.038);,I don't work on campus;,Boring,No,2.00,Collecting data in itself is not useful; the value arises from actions. I'm not convinced these actions justify the expense over using old-fashioned methods with a bit of common sense (e.g. manually turning lights off in an empty room). There are also major security and privacy concerns with ubiquitous sensing.,5.00,2.00,2.00,5.00,1.00,2.00,1.00,1.00,3.00,2.00,1.00,2.00,No,"See reasons given earlier (security, privacy, expense, value).",No,See above - I am naturally against ubiquitous sensing in general.,Report to Estates.,Security and privacy.
23,PGT,Yes,Yes,1 day,Café;Classrooms (4.005) and 2nd floor study area (not group study spaces);,,,No,4.00,"I believe it has the ability to, when used and configured correctly and appropriate for the space. For example, heating the whole of the open spaces on a floor of USB because one person has triggered an occupancy sensor is not ideal.",1.00,3.00,4.00,2.00,4.00,3.00,4.00,4.00,5.00,5.00,5.00,4.00,Yes,"This should be a fundamental aspect of all new buildings. Sustainability requires us to work smarter, not harder, to ensure that efficiency is optimised and future supplies can meet future demands.",Maybe,"It would depend on how tailored the suggestions were, and how current they were kept.","Alert relevant staff, and restrict access into, but not out of the area to ensure safety. Depending on the situation and implications of the data the sensors provide, the building management system could then take further action. For example, if a fire was sensed through multiple sensors confirming risk, the system would sound the alarm, close windows, power down electricals, and restrict access.","Great care needs to be taken to ensure data security and system security, and that data analysed by automation is correctly analysed and acted upon."
24,PGT,Yes,Yes,1 day,"Group Study Spaces (Large tables with 8-10 chairs);Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);",I don't work on campus;,,No,4.00,"The technology itself will only have an impact if the data being collected is acted upon
Even then, the adoption of Smart Building tech will need to be much more widely adopted to have a strong impact",1.00,2.00,5.00,4.00,5.00,4.00,5.00,5.00,5.00,5.00,5.00,5.00,Yes,It would improve the efficiency of the building and reduce energy bills,Yes,"Its not something I know a lot about, so suggestions would be welcome","Some level of automation - whether that is isolating any services that could cause further risk e.g. electricity, and notifying building management teams of the nature of the incident and required actions",Some form of legislation for all new buildings over a certain size to have smart building technology
25,UG,Yes,No,5 days,"Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);Lecture Theatre;Group Study Spaces (Large tables with 8-10 chairs);",I don't work on campus;,15 min walk,Yes,2.00,Climate change is too widespread of an issue that a singular building can solve it,4.00,2.00,4.00,5.00,3.00,1.00,2.00,3.00,5.00,4.00,4.00,4.00,Maybe,"It seems a bit intrusive, but not to a too great degree",Yes,Could have expert opinion fed into it,"Immediately alert the relevant parties as to what has happened, thus allowing a quick response. In direr situations, having a fire alarm would be good as well.",N/A
26,PGR,Yes,Yes,5 days,Open Lab;,I don't work on campus;,"I sometimes work from home, depending on the tasks I have to do that day/how I feel",Yes,3.00,"It would only have an impact on Climate Change if the data collected by sensors was made more visible to the public - however, even then, if the Smart Building decides the room doesn't need to be warmer, but the people inside the room feel cold, they're going to put the heating on!",3.00,2.00,5.00,5.00,3.00,3.00,3.00,4.00,3.00,4.00,4.00,3.00,Maybe,"The reasons for implementing smart building tech would need to be thoroughly researched and justified - i.e. not just because it's trendy or an expected thing to do. The smart building tech needs to work for the people in the building, not the other way around. I think there's definitely positives, such as turning off lights in a room when there's nobody in it, and being able to quickly tell if a room is busy or not (this is especially good as after the covid pandemic, many people are not as comfortable around loads of people)",Yes,It would mean less unnecessary sensors where it is not required (i.e a room that only one person is in) as well as making sure the technology can be implemented most effectively,"I would want everything else to still work, as much as is reasonably possible - there is always a risk of becoming Over reliant on smart technology when it is not required, leading to nothing working when it goes down or has a problem. I would expect a back-up plan/scenario to deal with any incidents or damages","I can't think of any new sensors, but I'd reiterate that it needs to be made transparent and clear what the smart building tech is doing to help - I understand there is a website for the USB, but this doesn't really display that data in a clear or interesting way that make it clear the benefits of implementing such tech. If people can see and understand the benefits of this tech then they'll be more likely to be advocates for it, as well as feel like they're making some difference to the environment."
27,Academic Staff,Yes,Yes,2 days,Offices (e.g. EPiC space 2.038);Café;Large Meeting Rooms (e.g. 3.032);,"Agriculture, Devonshire;","WFH, Work activities across campus. ",Yes,4.00,Better use of energy,3.00,4.00,4.00,3.00,4.00,3.00,3.00,5.00,5.00,5.00,5.00,5.00,Yes,"More efficient, more comfortable",Yes,Suggestions are always helpful! ,Inform people and fix it ,Not sure
28,PGT,Yes,Yes,7 days,"Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);",Philip Robinson Library;,convenient,No,4.00,"if the building is designed according to the climate, it is more convenient for people to live in",1.00,2.00,3.00,3.00,2.00,3.00,3.00,2.00,3.00,2.00,3.00,2.00,Yes,good idea,Yes,great,good,good
29,Academic Staff,Yes,Yes,5 days,Offices (e.g. EPiC space 2.038);,I don't work on campus;,,Yes,3.00, ,5.00,4.00,4.00,5.00,4.00,4.00,4.00,2.00,3.00,3.00,3.00,3.00,Maybe, ,Maybe, , , 
30,UG,Yes,Yes,2 days,"Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);",I don't work on campus;,It is far away from my house,No,4.00,Contributes to important environmental factors as listed above,2.00,1.00,4.00,2.00,4.00,4.00,4.00,4.00,3.00,5.00,5.00,5.00,Yes,It can be beneficial to the environment so probably useful for future proofing,Yes,I would have no idea where to start so this would be very useful,prevent any harm to the buildings occupants,I dont know enough about smart buildings to suggest improvements
31,UG,Yes,Yes,4 days,"Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);",My room;," Computers dont have PyCharm, I have to re-sign into all of my stuff (cba), loud groups of people, avoiding people.",No,2.00,I haven't got enough information to know exactly.,2.00,4.00,4.00,1.00,4.00,4.00,3.00,3.00,3.00,3.00,3.00,3.00,Yes,"Sell the data, adapt to the data, possibly claim green benefits. ",Yes,I would need the info so yes.,"Alert people, self-repair, if necessary seal off the area.","Cannot think of any atm, sorry."
32,UG,Yes,No,3 days,Group Study Spaces (Large tables with 8-10 chairs);,,I find working on my own computer at home to be more comfortable,Yes,2.00,"I don't really see how it could have any major impact. It might help somewhat, but it isn't drastic enough to make any real change, unless of course it is implemented in every building in the country.",2.00,4.00,4.00,4.00,4.00,1.00,2.00,5.00,3.00,4.00,3.00,4.00,Yes,"If it would improve the quality of life for the building's occupants, then I would consider using Smart Building Technology",Yes,This would help as I am not currently well-versed in the different types of Smart Building technologies,"I would expect it to use the sensors to locate where the damage is, and then suggest an appropriate escape route from the building for occupants depending on what room they are currently in.",I don't know enough about the technology to suggest any improvements
33,Academic Staff,Yes,Yes,5 days,Offices (e.g. EPiC space 2.038);Lecture Theatre;,Agriculture Building;,No,Yes,2.00,"Smart Building technology seems to have *potential* to have a significant impact on energy consumption and the related carbon emissions, but this will ony be over a long period, and it requires the technology to be rolled out widely among both existing and old buildings alongside new buildings. It also remains to be seen how much difference this will have on Climate Change. I would guess that at present, investing in insulation, better physical design, low-energy consumption and other measures would have a far more significant effect on energy consumption and carbon. ",1.00,3.00,4.00,3.00,5.00,3.00,4.00,5.00,5.00,5.00,5.00,5.00,Yes,"In a new build, I think it's a no-brainer, for several reasons: better managed energy consumption, more cost-effective building maintenance, improved understanding of actual building usage (as opposed to the assumptions made in design). ",Yes,"It would be great if an app offered good, independent and evidence-based advice. There's a risk of an app just pushing one particular technoology or set of solutions for commercial or other reasons. ","Raise alarms and permit safe evacuation of the building. Subject to confientiality/privacy agreements in place, report alarms and any diagnostic data to the building operator and trusted contractors. ","There needs to be work on the cost-effectiveness trade-offs of data gathering and processing technology. Not enough evidence is currently being gathered to support decision-making about when to deploy Smart Building tech. If you add a whole layer of digital infrastructure on top of the existing physical and digital infrastructure in a building (i.e., the water, heating, lighting, security, IT) you can potentially add significant installation, running and maintenance costs - at what point does this actually start to pay for itself? So far as I know we don; really have evidence-based asnwers to that sort of question. "
34,PGT,Yes,Yes,5 days,Lecture Theatre;,I don't work on campus;,Prefer to work at home,No,1.00,dont think the data will help much,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,Maybe,depends on the budget,Maybe,depends on the budget,"inform the management, ideally stop the leaking itself","robot, ai to manage the building"
35,UG,Yes,Yes,6 days,"Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);Group Study Spaces (Large tables with 8-10 chairs);",,,Yes,4.00,It can help use energy more efficiently by climate control for example ,1.00,4.00,4.00,2.00,3.00,1.00,3.00,5.00,5.00,5.00,5.00,5.00,Yes,It can help save energy ,Maybe,"It could be useful, provided it's very well-designed. It's possible that a team of experts would be better to consult. ","Most importantly, not lock any fire exists, main entrances and access points due to failure. ",There is nothing I can currently think of 
36,PGT,No,N/A,5 days,"Café;Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);Group Study Spaces (Large tables with 8-10 chairs);Lecture Theatre;",Marjorie Robinson Library;Business School;Frederick Douglass Centre;,,Yes,2.00,Norman56 really sure how it can be applied specifically to climate change.  I have never seen evidence of impact.,1.00,2.00,3.00,1.00,5.00,2.00,2.00,3.00,2.00,4.00,2.00,3.00,Yes,Yes it sounds useful,Yes,Would be good to have a guide on how to use it properly,not sure,"not sure, don't know it well enough"
37,UG,Yes,Yes,3 days,"Lecture Theatre;Flat Floor Teaching Space (3.005, 3.015, 3018 etc.);",Philip Robinson Library;,It is too far away,No,3.00,I think it has some impact but with only a few buildings currently being smart I doubt this has much impact at all,2.00,5.00,3.00,3.00,5.00,3.00,5.00,5.00,5.00,5.00,5.00,5.00,Yes,It would seem backwards to not add new technology to a new building,Yes,"There's no point in guessing, having a program would save getting in an expensive expert",Inform the relevant people and take any steps possible to limit damage,"Ideally it should work better, for example the USB is far too hot so whilst the sensors probably do work, they're not set up correctly to manage conditions"
38,PGR,Yes,Yes,5 days,Offices (e.g. EPiC space 2.038);,I don't work on campus;,"Curtains are not effective in blocking the sun lights from my screen. When it is a sunny day, I can't see my screen.",No,1.00,"I do not think smart building has ""strong"" but may be some impact on Climate Change",2.00,5.00,5.00,5.00,5.00,5.00,3.00,5.00,5.00,5.00,5.00,5.00,Yes,Easy to control,Yes,That can help avoid some mistakes,Alarm,To be connected for example to Police or Emergency in case someone had an accidents or attack to be easy to reduce the impact of such accidents 
